Time,Open,High,Low,Close,Volume
07/09/2018,1201.098,1203.481,1193.418,1195.629,1259
09/09/2018,1195.018,1196.608,1194.811,1196.119,120
10/09/2018,1196.089,1198.439,1191.498,1194.998,1380
11/09/2018,1194.998,1199.368,1187.698,1196.988,1379
12/09/2018,1196.998,1208.429,1192.658,1206.201,1379
13/09/2018,1206.158,1212.609,1200.148,1202.098,1379
14/09/2018,1202.118,1208.512,1192.878,1193.249,1259
16/09/2018,1193.971,1194.722,1192.998,1193.348,119
17/09/2018,1193.359,1204.779,1192.758,1198.379,1380
18/09/2018,1198.388,1203.492,1195.838,1199.499,1380
19/09/2018,1199.509,1206.169,1198.129,1203.931,1380
20/09/2018,1203.931,1208.372,1201.269,1207.359,1380
21/09/2018,1207.359,1211.012,1191.789,1199.468,1259
23/09/2018,1198.819,1199.168,1197.022,1197.938,120
24/09/2018,1197.922,1204.138,1194.399,1199.309,1379
25/09/2018,1199.308,1203.269,1197.078,1201.208,1379
26/09/2018,1201.208,1202.428,1190.478,1196.438,1367
27/09/2018,1196.418,1198.509,1182,1183.539,1379
28/09/2018,1183.548,1193.841,1180.718,1191.762,1259
30/09/2018,1192.309,1192.339,1190.652,1190.868,120
01/10/2018,1190.878,1192.038,1184.541,1188.989,1380
02/10/2018,1188.989,1208.211,1188.739,1205.528,1380
03/10/2018,1205.528,1208.278,1196.766,1197.908,1380
04/10/2018,1197.908,1206.702,1195.968,1199.108,1379
05/10/2018,1199.108,1205.759,1197.238,1202.691,1259
07/10/2018,1203.038,1203.978,1202.878,1203.748,120
08/10/2018,1203.759,1204.039,1182.542,1190.662,1379
09/10/2018,1190.661,1191.838,1183.258,1189.848,1380
10/10/2018,1189.848,1194.889,1185.308,1193.862,1380
11/10/2018,1193.898,1226.282,1191.229,1221.238,1380
12/10/2018,1221.259,1223.589,1215.798,1217.768,1259
14/10/2018,1217.529,1220.229,1216.808,1219.219,120
15/10/2018,1219.219,1233.238,1219.199,1226.769,1379
16/10/2018,1226.768,1232.361,1223.401,1224.898,1380
17/10/2018,1224.898,1229.451,1220.549,1222.179,1380
18/10/2018,1222.179,1230.091,1218.638,1225.799,1380
19/10/2018,1225.799,1230.752,1223.058,1225.981,1259
21/10/2018,1227.242,1228.072,1226.472,1227.278,120
22/10/2018,1227.278,1229.551,1220.011,1222.309,1378
23/10/2018,1222.319,1239.712,1221.868,1230.909,1379
24/10/2018,1230.909,1235.229,1225.579,1235.229,1379
25/10/2018,1235.208,1239.171,1228.079,1231.691,1379
26/10/2018,1231.691,1243.378,1230.008,1233.333,1259
28/10/2018,1233.547,1234.793,1232.723,1232.723,120
29/10/2018,1232.723,1235.383,1224.223,1229.984,1380
30/10/2018,1229.984,1230.494,1219.85,1222.503,1373
31/10/2018,1222.503,1222.803,1211.8,1215.97,1370
01/11/2018,1216,1237.328,1215.79,1232.908,1374
02/11/2018,1232.898,1236.348,1229.665,1232.625,1258
04/11/2018,1232.598,1234.118,1232.518,1234.025,60
05/11/2018,1234.025,1235.048,1226.798,1230.998,1375
06/11/2018,1231.008,1235.868,1223.418,1227.818,1378
07/11/2018,1227.868,1236.418,1222.945,1226.005,1378
08/11/2018,1225.985,1226.888,1220.028,1222.998,1379
09/11/2018,1222.998,1223.208,1206.635,1209.635,1316
11/11/2018,1208.925,1210.685,1208.895,1210.665,60
12/11/2018,1210.678,1211.395,1200.338,1202.255,1379
13/11/2018,1202.258,1205.115,1196.195,1202.995,1378
14/11/2018,1203.078,1216.458,1197.605,1210.918,1376
15/11/2018,1210.905,1216.378,1207.528,1213.898,1373
16/11/2018,1213.898,1225.218,1213.775,1221.085,1317
18/11/2018,1221.935,1222.638,1221.515,1222.468,59
19/11/2018,1222.458,1225.288,1217.955,1224.068,1378
20/11/2018,1224.078,1228.698,1219.838,1221.585,1373
21/11/2018,1221.585,1230.078,1219.695,1225.685,1366
22/11/2018,1225.688,1229.015,1224.795,1227.335,1136
23/11/2018,1227.335,1228.488,1220.258,1222.885,1125
25/11/2018,1223.298,1224.345,1223.225,1224.325,60
26/11/2018,1224.325,1227.958,1221.635,1222.595,1375
27/11/2018,1222.605,1225.195,1211.835,1214.418,1377
28/11/2018,1214.418,1226.648,1211.128,1220.975,1374
29/11/2018,1220.985,1228.918,1220.628,1224.228,1376
30/11/2018,1224.198,1225.475,1216.605,1222.025,1317
02/12/2018,1222.948,1223.398,1221.908,1222.008,60
03/12/2018,1222.008,1234.898,1221.205,1231.128,1376
04/12/2018,1231.128,1241.878,1230.418,1238.685,1372
05/12/2018,1238.675,1238.998,1233.245,1238.205,1378
06/12/2018,1238.248,1244.248,1234.685,1237.335,1369
07/12/2018,1237.335,1249.968,1237.245,1248.205,1320
09/12/2018,1249.675,1250.828,1248.775,1248.945,60
10/12/2018,1248.955,1250.258,1241.515,1244.065,1376
11/12/2018,1244.055,1249.425,1240.958,1243.055,1376
12/12/2018,1243.065,1247.178,1241.905,1246.088,1377
13/12/2018,1246.088,1246.668,1240.048,1242.405,1376
14/12/2018,1242.395,1242.948,1232.858,1238.115,1319
16/12/2018,1239.015,1239.055,1235.765,1237.025,59
17/12/2018,1237.025,1248.038,1235.725,1245.798,1373
18/12/2018,1245.818,1250.348,1244.995,1249.418,1373
19/12/2018,1249.408,1257.955,1241.605,1244.065,1378
20/12/2018,1244.075,1266.398,1242.655,1261.905,1379
21/12/2018,1261.925,1262.658,1254,1255.435,1318
23/12/2018,1257.348,1259.025,1256.848,1258.815,59
24/12/2018,1258.815,1269.955,1258.738,1268.935,1125
25/12/2018,1268.765,1270.885,1267.005,1267.125,60
26/12/2018,1267.165,1279.018,1264.168,1269.065,1376
27/12/2018,1269.065,1278.928,1266.588,1274.695,1374
28/12/2018,1274.595,1282.068,1274.205,1280.555,1319
30/12/2018,1280.235,1280.655,1278.848,1279.708,60
31/12/2018,1279.685,1283.998,1277.365,1282.185,1316
01/01/2019,1282.295,1282.345,1280.598,1281.118,60
02/01/2019,1281.118,1290.148,1278.625,1285.815,1379
03/01/2019,1285.795,1295.218,1284.485,1295.118,1377
04/01/2019,1295.135,1298.538,1276.565,1284.945,1317
06/01/2019,1285.048,1286.355,1284.045,1284.155,59
07/01/2019,1284.158,1294.998,1282.555,1288.815,1371
08/01/2019,1288.825,1290.158,1279.315,1285.075,1374
09/01/2019,1285.125,1293.848,1280,1292.878,1377
10/01/2019,1292.848,1297.018,1286.035,1287.905,1380
11/01/2019,1287.905,1295.088,1286.928,1287.175,1316
13/01/2019,1287.348,1288.545,1287.248,1288.065,60
14/01/2019,1288.055,1295.805,1287.888,1291.408,1377
15/01/2019,1291.405,1294.685,1286.665,1289.565,1372
16/01/2019,1289.565,1294.915,1287.805,1292.885,1380
17/01/2019,1292.878,1295.318,1288.875,1292.235,1373
18/01/2019,1292.245,1292.368,1280.555,1281.265,1317
20/01/2019,1281.455,1283.205,1281.455,1282.525,60
21/01/2019,1282.525,1283.465,1276.718,1279.615,1135
22/01/2019,1279.615,1285.425,1277.365,1284.498,1378
23/01/2019,1284.498,1286.438,1278.605,1283.695,1374
24/01/2019,1283.685,1284.725,1276.585,1281.325,1367
25/01/2019,1281.335,1303.525,1280,1302.935,1309
27/01/2019,1301.335,1302.505,1299.895,1299.965,60
28/01/2019,1299.965,1304.335,1297.615,1303.778,1375
29/01/2019,1303.878,1311.948,1302.635,1310.645,1378
30/01/2019,1310.668,1323.298,1308.945,1319.138,1379
31/01/2019,1319.138,1326.248,1317.385,1320.995,1375
01/02/2019,1320.995,1323.465,1316.085,1317.265,1320
03/02/2019,1317.925,1318.965,1316.465,1317.095,59
04/02/2019,1317.075,1317.455,1308.535,1311.678,1371
05/02/2019,1311.675,1316.825,1310.625,1314.898,1375
06/02/2019,1314.835,1315.765,1305.515,1306.565,1377
07/02/2019,1306.525,1311.878,1302.705,1310.365,1371
08/02/2019,1310.375,1315.568,1307.698,1313.945,1320
10/02/2019,1314.098,1314.098,1313.245,1313.598,58
11/02/2019,1313.598,1314.815,1303.595,1307.695,1379
12/02/2019,1307.675,1314.668,1306.405,1310.205,1377
13/02/2019,1310.205,1318.078,1304.975,1307.545,1377
14/02/2019,1307.545,1314.308,1302.288,1311.875,1377
15/02/2019,1311.875,1322.555,1311.328,1321.035,1315
17/02/2019,1320.882,1321.445,1320.405,1321.058,58
18/02/2019,1321.088,1327.545,1320.798,1326.368,1135
19/02/2019,1326.368,1341.778,1322.778,1339.488,1378
20/02/2019,1339.498,1346.655,1336.798,1340.555,1377
21/02/2019,1340.545,1341.425,1320.858,1325.785,1380
22/02/2019,1325.785,1333.038,1321.468,1327.885,1320
24/02/2019,1328.835,1329.025,1326.795,1327.665,60
25/02/2019,1327.665,1332.485,1325.115,1327.455,1379
26/02/2019,1327.438,1330.128,1323.445,1329.185,1364
27/02/2019,1329.185,1329.808,1316.815,1321.085,1332
28/02/2019,1321.075,1327.228,1312.518,1314.138,1377
01/03/2019,1314.155,1315.138,1290.098,1293.055,1320
03/03/2019,1292.705,1296.135,1292.705,1295.158,60
04/03/2019,1295.158,1296.995,1282.758,1287.025,1376
05/03/2019,1287.025,1289.535,1281.128,1287.875,1370
06/03/2019,1287.935,1290.885,1283.545,1287.095,1377
07/03/2019,1287.095,1288.975,1280.485,1285.918,1371
08/03/2019,1285.908,1300.708,1285.128,1298.055,1318
10/03/2019,1297.765,1297.955,1296.115,1297.215,119
11/03/2019,1297.215,1299.045,1290.395,1292.525,1371
12/03/2019,1292.525,1302.148,1292.395,1301.888,1367
13/03/2019,1301.888,1311.168,1301.655,1309.338,1373
14/03/2019,1309.345,1309.735,1292.775,1296.065,1370
15/03/2019,1296.065,1306.328,1293.928,1301.875,1254
17/03/2019,1301.855,1302.485,1300.535,1300.555,118
18/03/2019,1300.555,1306.668,1298.155,1303.418,1373
19/03/2019,1303.408,1310.835,1303.365,1306.158,1373
